"Unit_quarter","Total.flux","Herb.flux","Detr.flux","Micr.flux","Pred.flux"
"U10qA",33.8558185214808,9.90879557024258,0.849831831034772,11.6924016411955,11.404789479008
"U10qB",16.3611242288526,6.86709269567853,0.855935214668657,5.67407324976777,2.96402306873769
"U10qC",100.463457753594,64.8652363346302,2.43752636089123,22.2827320454981,10.877963012574
"U10qD",75.7430700041357,55.6704733733295,0.308648083389291,13.5564453093601,6.20750323805687
"U11qA",134.481291063829,53.4210478207797,14.9530980141484,23.1442336799205,42.9629115489801
"U11qB",82.6409895787604,22.761975762439,0.967189626049899,37.757594354143,21.1542298361285
"U11qC",94.4993969614818,19.6463138361318,4.55979863792758,42.0110726151936,28.2822118722289
"U11qD",48.1722192985574,16.3853908496765,1.5849896342849,10.9823667218657,19.2194720927303
"U12qA",144.547181657083,7.92325254973401,2.63665694233063,56.2023177780042,77.7849543870146
"U12qB",23.3066326435397,3.50489943955082,2.63076260603763,10.6399130412595,6.53105755669181
"U12qC",43.6978126925049,2.94035462547398,3.3501640018985,25.2971849830458,12.1101090820866
"U12qD",88.7583766576964,7.96744571794375,24.1196995694136,25.9438268184748,30.7274045518642
"U13qA",46.8886948625794,12.2307833665457,6.02107923582411,17.0632447532071,11.5735875070025
"U13qB",40.2554004057327,5.80705229087937,9.72949755701601,14.7183553934432,10.0004951643941
"U13qC",294.957474190518,255.171037100617,8.09942437002478,24.2724341512873,7.41457856858961
"U13qD",151.17198220398,121.788734333559,3.37787096600186,17.7896465877855,8.2157303166332
"U14qA",89.5723061190199,27.863277151429,14.4939863183644,36.7998873991897,10.4151552500369
"U14qB",197.320302889636,103.73094089042,2.16791390402735,48.8443068858808,42.5771412093079
"U14qC",86.7868924375931,23.8072146398691,15.9774386100767,21.309741677462,25.6924975101852
"U14qD",101.183048068497,21.5789197562246,10.0972591726987,31.938211648177,37.5686574913971
"U15qA",219.7590418126,74.7610579636807,2.64211993112917,61.2713092872623,81.0845546305278
"U15qB",186.926703625488,49.5830528518704,54.7004332527891,35.5168816027178,47.1263359181107
"U15qC",86.4616306975484,17.4786242607208,27.2673557894368,24.5824627031744,17.1331879442164
"U15qD",78.9964655095121,8.23496442609126,2.89874135527928,45.1681904035604,22.6945693245812
"U16qA",182.790249940547,20.4178084515296,32.9226206593791,58.3894683023359,71.0603525273026
"U16qB",167.540633960842,27.5394112008221,20.8468470277632,57.7067844112276,61.4475913210293
"U16qC",65.8710472289408,20.3452256453306,11.9527583503478,14.9151358625775,18.6579273706849
"U16qD",135.511385856929,24.1778099616585,21.3159946391722,33.5471678574375,56.4704133986612
"U17qA",103.606743026349,46.9550391886721,1.02613614852137,39.0575254131625,16.5680422759928
"U17qB",16.5159968936695,0.328463257847184,4.54801528050008,6.83823067450057,4.80128768082163
"U17qC",329.237226155029,234.827552710659,2.86852853317916,62.1359155404304,29.4052293707605
"U17qD",77.9189653831151,29.4437909078355,6.28095208176566,18.4237054669524,23.7705169265616
"U18qA",87.5710369275475,10.1675837569789,13.4986808409311,26.7712969946632,37.1334753349743
"U18qB",80.8434188556061,27.2629130999944,1.40597879117848,23.2143114077912,28.960215556642
"U18qC",99.4128465191197,16.7660879657914,6.50581042369927,34.2246611522376,41.9162869773914
"U18qD",58.9141025146765,9.22634716523198,0.580581192276372,26.1178212400833,22.9893529170849
"U19qA",33.2074476028459,6.04857101153229,5.18904810066177,16.3338565950084,5.63597189564337
"U19qB",78.7776056548307,14.1031324158228,2.17981471973714,29.6934414642746,32.8012170549961
